,id,text,sentiment_text
0,245450259807,aw... looks like im either going to have to go G1 or 3GS next month then,aw. looks like im either going to have to go G1 or 3GS next month then
1,245452259809,/me throws up,me throws up
2,245444259801,better them then me  yay i got pizza coming soon,better them then me yay i got pizza coming soon
3,245451259808,"heh, that is how I parses it at first but from context I do not think it was",heh that is how I parses it at first but from context I do not think it was
4,245449259806,i know  i have a lot of stuff that i need to take care of before monday  we will reschedule,i know i have a lot of stuff that i need to take care of before monday we will reschedule
5,245447259804,were so cool but people do not know how cool we are beacuse its way to much to think about   p.s stop eating all the pizza,were so cool but people do not know how cool we are beacuse its way to much to think about p.s stop eating all the pizza
6,245453259810,Aww... sad...  but how is school there?,Aww. sad. but how is school there
7,245448259805,i miss you 2 gurl i cannot visit you im 2 far away hav 2 wait till nxt year soz,i miss you gurl i cannot visit you im far away hav wait till nxt year soz
8,245445259802,Hey!  Vote for  he is currently in 3rd place! http://bit.ly/votetom spead the word! Vote as many times as you can,Hey Vote for he is currently in 3rd place spead the word Vote as many times as you can
9,245446259803,"Sorry, we do not have a facebook page. have not had time to make one yt",Sorry we do not have a facebook page. have not had time to make one yt
